symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
ADA/USDT,-0.06,False,True,76.98,0.76,-0.2356,-23.56,69.79,1.35,748,0.6022,27,26,69.23,73.08,69.23,2.0,1.235,26.392,-5.334,600,70.58
ADA/USDT,-0.06,False,False,73.8,0.73,-0.2175,-21.75,69.43,1.32,772,0.5622,27,26,61.54,69.23,65.38,1.892,1.202,26.455,-5.493,624,67.57
ADA/USDT,-0.06,True,False,60.13,0.67,-0.1943,-19.43,69.23,1.34,650,0.5783,27,26,61.54,65.38,57.69,1.715,1.15,26.39,-5.049,531,67.43
ADA/USDT,-0.06,True,True,74.13,0.79,-0.1865,-18.65,70.21,1.4,631,0.6688,27,26,57.69,61.54,57.69,2.008,1.265,27.219,-4.827,514,67.25
ADA/USDT,-0.05,True,True,51.4,0.57,-0.1906,-19.06,66.63,1.27,827,0.4452,27,26,61.54,61.54,65.38,1.481,1.09,5.218,-5.497,691,66.5
ADA/USDT,-0.07,True,True,47.77,0.62,-0.1853,-18.53,70.37,1.37,459,0.66,27,25,64.0,68.0,68.0,1.313,1.002,21.348,-4.52,361,65.74
ADA/USDT,-0.08,False,False,50.21,0.63,-0.1999,-19.99,71.66,1.4,427,0.7194,27,26,65.38,65.38,57.69,1.227,0.699,2.22,-4.419,323,65.57
ADA/USDT,-0.07,False,False,57.6,0.66,-0.1992,-19.92,69.98,1.36,553,0.6466,27,26,57.69,57.69,61.54,1.203,0.82,18.297,-4.958,430,64.91
ADA/USDT,-0.05,True,False,37.34,0.45,-0.1902,-19.02,65.46,1.21,857,0.3625,27,26,57.69,57.69,61.54,1.185,0.991,5.468,-5.613,718,63.77
ADA/USDT,-0.07,True,False,36.92,0.51,-0.1931,-19.31,68.66,1.31,469,0.5538,27,25,60.0,64.0,64.0,1.06,0.894,19.988,-4.629,370,63.05
ADA/USDT,-0.07,False,True,54.63,0.64,-0.2177,-21.77,70.49,1.36,532,0.6477,27,26,53.85,61.54,65.38,1.164,0.828,18.381,-4.85,408,62.45
ADA/USDT,-0.08,False,True,48.82,0.62,-0.1902,-19.02,72.12,1.39,416,0.7168,27,26,57.69,61.54,53.85,1.133,0.667,2.203,-4.39,311,62.41
ADA/USDT,-0.08,True,True,41.66,0.59,-0.1898,-18.98,72.42,1.39,359,0.725,27,25,60.0,64.0,52.0,1.307,0.852,2.242,-4.057,276,62.09
ADA/USDT,-0.08,True,False,39.25,0.56,-0.2078,-20.78,71.39,1.37,367,0.685,27,25,60.0,64.0,56.0,1.282,0.851,2.237,-4.089,284,61.56
ADA/USDT,-0.05,False,False,32.58,0.39,-0.2188,-21.88,65.52,1.18,1015,0.3151,27,26,53.85,53.85,53.85,1.01,0.94,4.925,-6.26,836,61.06
ADA/USDT,-0.05,False,True,33.55,0.4,-0.2487,-24.87,66.02,1.18,977,0.3265,27,26,53.85,53.85,53.85,1.074,0.955,4.652,-6.112,803,60.57
