symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
AVAX/USDT,-0.08,False,True,38.0,0.46,-0.2584,-25.84,71.02,1.21,659,0.454,27,26,61.54,65.38,65.38,1.078,0.618,13.769,-5.457,484,64.05
AVAX/USDT,-0.08,False,False,36.7,0.44,-0.2657,-26.57,71.2,1.2,684,0.4324,27,26,57.69,61.54,61.54,1.271,0.661,13.798,-5.551,503,62.16
AVAX/USDT,-0.06,False,False,38.74,0.42,-0.3011,-30.11,67.63,1.16,1072,0.3307,27,27,59.26,59.26,59.26,0.689,0.463,2.08,-7.31,835,61.88
AVAX/USDT,-0.07,False,True,55.04,0.56,-0.2584,-25.84,69.35,1.23,819,0.465,27,27,51.85,51.85,59.26,0.976,0.434,20.967,-5.838,614,61.17
AVAX/USDT,-0.07,False,False,50.35,0.52,-0.2502,-25.02,69.14,1.21,849,0.4316,27,27,51.85,51.85,51.85,0.89,0.474,20.986,-6.061,634,60.94
AVAX/USDT,-0.06,False,True,38.62,0.42,-0.2884,-28.84,67.34,1.16,1044,0.3329,27,27,55.56,55.56,55.56,0.564,0.36,2.209,-7.188,811,60.66
AVAX/USDT,-0.08,True,True,-6.01,0.0,-0.3545,-35.45,68.07,1.05,545,0.1116,27,26,61.54,61.54,61.54,0.285,0.448,2.429,-5.496,410,56.61
AVAX/USDT,-0.08,True,False,-5.93,0.01,-0.3577,-35.77,68.29,1.05,555,0.1105,27,26,57.69,57.69,57.69,0.325,0.443,2.413,-5.603,419,55.27
AVAX/USDT,-0.06,True,False,-19.85,-0.14,-0.4139,-41.39,64.38,1.01,873,0.0163,27,27,55.56,55.56,55.56,-0.606,0.08,1.897,-7.154,692,51.89
AVAX/USDT,-0.07,True,True,-13.15,-0.08,-0.3733,-37.33,65.51,1.02,661,0.0493,27,27,48.15,48.15,48.15,-0.262,0.079,2.044,-5.861,508,51.79
AVAX/USDT,-0.07,True,False,-13.01,-0.07,-0.3781,-37.81,65.63,1.02,678,0.0553,27,27,48.15,48.15,51.85,-0.309,0.14,2.078,-5.997,520,51.7
AVAX/USDT,-0.06,True,True,-20.26,-0.15,-0.4092,-40.92,63.97,1.0,852,0.0054,27,27,51.85,51.85,55.56,-0.657,0.009,1.866,-7.084,676,49.88
AVAX/USDT,-0.05,False,False,2.19,0.13,-0.3198,-31.98,64.53,1.08,1328,0.1663,27,27,48.15,48.15,55.56,-0.053,0.165,1.319,-8.403,1059,40.54
AVAX/USDT,-0.05,False,True,-3.28,0.08,-0.3326,-33.26,64.56,1.07,1284,0.1464,27,27,48.15,48.15,48.15,-0.469,0.019,1.284,-8.461,1021,39.09
AVAX/USDT,-0.05,True,True,-35.02,-0.34,-0.4951,-49.51,61.28,0.96,1028,-0.0814,27,27,44.44,51.85,55.56,-1.051,-0.125,1.415,-7.883,836,36.17
AVAX/USDT,-0.05,True,False,-37.98,-0.37,-0.5289,-52.89,61.38,0.95,1059,-0.1027,27,27,44.44,48.15,55.56,-1.113,-0.115,1.404,-8.066,862,35.86
