symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
BNB/USDT,-0.05,False,True,62.17,0.8,-0.2129,-21.29,67.35,1.43,533,0.654,27,26,73.08,73.08,73.08,1.261,1.259,5.143,-3.58,374,71.86
BNB/USDT,-0.05,False,False,58.88,0.76,-0.2207,-22.07,67.09,1.4,547,0.6202,27,26,65.38,65.38,65.38,1.142,1.2,5.073,-3.62,380,68.45
BNB/USDT,-0.06,False,False,40.53,0.62,-0.2186,-21.86,68.47,1.35,425,0.5931,27,25,72.0,72.0,56.0,1.086,1.154,3.952,-3.134,280,67.71
BNB/USDT,-0.06,False,True,37.35,0.59,-0.2107,-21.07,68.32,1.35,404,0.5781,27,25,72.0,72.0,56.0,0.991,1.134,3.508,-3.11,269,67.22
BNB/USDT,-0.07,False,True,24.05,0.44,-0.2098,-20.98,69.77,1.3,301,0.55,27,22,77.27,81.82,59.09,1.129,1.359,3.696,-2.803,190,66.13
BNB/USDT,-0.07,False,False,23.83,0.44,-0.2177,-21.77,69.81,1.29,308,0.5356,27,22,77.27,81.82,59.09,1.135,1.363,3.025,-2.851,194,66.09
BNB/USDT,-0.08,False,False,17.11,0.36,-0.1892,-18.92,70.0,1.29,230,0.5521,27,19,78.95,78.95,47.37,1.003,1.176,2.882,-2.744,140,65.23
BNB/USDT,-0.08,False,True,12.04,0.28,-0.2084,-20.84,69.78,1.22,225,0.4485,27,19,78.95,78.95,47.37,0.881,1.1,2.85,-2.725,136,63.96
BNB/USDT,-0.05,True,True,24.13,0.42,-0.2124,-21.24,65.37,1.25,462,0.4088,27,26,65.38,69.23,65.38,0.675,0.902,4.21,-3.597,333,63.8
BNB/USDT,-0.08,True,True,2.21,0.09,-0.1836,-18.36,65.79,1.12,190,0.2524,27,18,77.78,77.78,50.0,0.468,0.791,2.744,-2.822,120,61.51
BNB/USDT,-0.06,True,True,13.09,0.27,-0.2102,-21.02,66.86,1.19,347,0.3434,27,25,68.0,68.0,56.0,0.631,0.977,3.231,-3.015,233,61.48
BNB/USDT,-0.05,True,False,17.42,0.32,-0.2513,-25.13,64.82,1.2,469,0.3339,27,26,61.54,61.54,57.69,0.593,0.889,4.339,-3.646,337,60.61
BNB/USDT,-0.08,True,False,-3.33,-0.02,-0.2419,-24.19,64.97,1.04,197,0.0785,27,18,77.78,77.78,50.0,0.496,0.803,2.789,-2.964,126,59.56
BNB/USDT,-0.06,True,False,7.94,0.19,-0.2492,-24.92,66.11,1.14,357,0.2625,27,25,64.0,64.0,52.0,0.592,0.959,3.138,-3.139,240,58.47
BNB/USDT,-0.07,True,True,-0.53,0.04,-0.2413,-24.13,66.93,1.07,257,0.1561,27,22,68.18,72.73,45.45,0.559,1.095,2.455,-2.784,165,57.13
BNB/USDT,-0.07,True,False,-4.88,-0.04,-0.2879,-28.79,66.67,1.02,261,0.0533,27,22,68.18,72.73,45.45,0.585,1.132,2.501,-2.836,168,55.86
