symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
BTC/USDT,-0.07,True,False,17.9,0.53,-0.0826,-8.26,64.15,1.55,159,0.7246,27,21,57.14,57.14,28.57,0.526,0.612,5.714,-2.065,114,59.15
BTC/USDT,-0.07,True,True,16.25,0.49,-0.0775,-7.75,65.36,1.52,153,0.6913,27,21,57.14,57.14,28.57,0.455,0.572,4.89,-2.034,108,58.76
BTC/USDT,-0.06,False,False,10.18,0.28,-0.1441,-14.41,59.26,1.25,243,0.3725,27,22,54.55,54.55,40.91,0.24,0.388,2.918,-2.853,178,55.79
BTC/USDT,-0.06,False,True,9.19,0.26,-0.1486,-14.86,58.82,1.24,238,0.3522,27,22,54.55,54.55,40.91,0.2,0.408,3.139,-2.819,173,55.41
BTC/USDT,-0.06,True,False,8.55,0.25,-0.1392,-13.92,58.95,1.23,229,0.3483,27,22,54.55,54.55,40.91,0.139,0.265,2.82,-2.801,168,55.35
BTC/USDT,-0.07,False,False,13.23,0.39,-0.1148,-11.48,61.68,1.4,167,0.5706,27,21,52.38,52.38,23.81,0.36,0.42,5.658,-2.217,120,55.34
BTC/USDT,-0.06,True,True,7.09,0.21,-0.1438,-14.38,58.74,1.21,223,0.3152,27,22,54.55,54.55,40.91,0.08,0.272,3.046,-2.756,162,54.76
BTC/USDT,-0.07,False,True,10.91,0.33,-0.1164,-11.64,60.98,1.35,164,0.5031,27,21,52.38,52.38,23.81,0.258,0.336,4.794,-2.217,117,54.66
BTC/USDT,-0.05,True,True,11.83,0.3,-0.1278,-12.78,59.19,1.24,321,0.3436,27,25,60.0,60.0,56.0,0.15,0.302,1.424,-2.784,243,48.27
BTC/USDT,-0.05,True,False,11.89,0.3,-0.1363,-13.63,59.08,1.24,325,0.3392,27,25,60.0,60.0,56.0,0.154,0.325,1.424,-2.806,247,48.17
BTC/USDT,-0.05,False,False,13.1,0.31,-0.1767,-17.67,58.59,1.23,355,0.3338,27,25,56.0,56.0,48.0,0.193,0.385,1.442,-2.861,270,46.72
BTC/USDT,-0.05,False,True,10.6,0.27,-0.1837,-18.37,57.93,1.21,347,0.305,27,25,52.0,52.0,44.0,0.105,0.316,1.42,-2.842,262,44.01
BTC/USDT,-0.08,True,True,12.76,0.44,-0.0763,-7.63,67.57,1.55,111,0.747,27,19,63.16,63.16,26.32,0.344,0.602,1.081,-1.754,73,41.61
BTC/USDT,-0.08,True,False,11.39,0.4,-0.0815,-8.15,65.77,1.51,111,0.6957,27,19,63.16,63.16,26.32,0.334,0.58,1.067,-1.768,73,40.82
BTC/USDT,-0.08,False,True,8.89,0.3,-0.0908,-9.08,63.72,1.4,113,0.5601,27,19,47.37,47.37,10.53,0.174,0.388,0.339,-1.908,75,32.02
BTC/USDT,-0.08,False,False,6.57,0.23,-0.1102,-11.02,62.5,1.32,112,0.4613,27,19,47.37,47.37,10.53,0.172,0.386,0.338,-1.91,75,30.91
