symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
INJ/USDT,-0.08,False,True,39.06,0.44,-0.3154,-31.54,69.45,1.19,802,0.403,27,25,60.0,60.0,60.0,1.215,0.566,2.066,-7.346,624,62.09
INJ/USDT,-0.08,True,True,35.67,0.44,-0.266,-26.6,69.64,1.19,672,0.4168,27,25,56.0,60.0,60.0,1.262,0.818,4.845,-6.575,531,61.48
INJ/USDT,-0.08,False,False,45.41,0.48,-0.2781,-27.81,69.4,1.2,853,0.4208,27,26,53.85,53.85,53.85,1.048,0.443,1.991,-7.487,660,60.6
INJ/USDT,-0.06,True,True,52.94,0.52,-0.3242,-32.42,65.82,1.19,1027,0.3886,27,26,53.85,61.54,61.54,1.432,0.791,3.389,-8.105,845,60.26
INJ/USDT,-0.08,True,False,36.32,0.43,-0.2787,-27.87,69.52,1.2,712,0.4285,27,26,50.0,57.69,57.69,0.944,0.607,4.477,-6.608,556,58.73
INJ/USDT,-0.06,True,False,62.27,0.57,-0.2735,-27.35,66.39,1.21,1086,0.4127,27,27,44.44,55.56,59.26,1.366,0.632,3.1,-8.011,892,58.01
INJ/USDT,-0.06,False,False,43.84,0.43,-0.2839,-28.39,65.2,1.15,1322,0.3133,27,27,40.74,48.15,62.96,1.066,0.384,3.675,-8.819,1074,54.92
INJ/USDT,-0.07,True,True,33.68,0.4,-0.2863,-28.63,67.26,1.17,837,0.3556,27,26,53.85,53.85,53.85,1.272,0.772,1.734,-7.334,679,54.49
INJ/USDT,-0.07,True,False,35.06,0.41,-0.3084,-30.84,67.34,1.17,885,0.3587,27,26,50.0,53.85,53.85,1.034,0.617,1.807,-7.698,713,54.07
INJ/USDT,-0.06,False,True,15.99,0.24,-0.3508,-35.08,64.35,1.11,1237,0.2226,27,26,46.15,50.0,53.85,0.571,0.377,3.843,-8.998,1007,53.84
INJ/USDT,-0.07,False,False,45.52,0.46,-0.3004,-30.04,67.75,1.17,1076,0.355,27,26,57.69,57.69,65.38,1.167,0.502,1.536,-8.367,856,52.39
INJ/USDT,-0.07,False,True,22.02,0.3,-0.3263,-32.63,66.93,1.12,1007,0.2692,27,26,57.69,57.69,53.85,0.82,0.497,1.353,-8.237,802,46.61
INJ/USDT,-0.05,False,False,33.49,0.36,-0.4137,-41.37,63.92,1.13,1624,0.2662,27,27,55.56,55.56,66.67,1.117,0.411,1.25,-9.898,1348,42.55
INJ/USDT,-0.05,True,True,10.76,0.2,-0.3881,-38.81,63.34,1.1,1233,0.2108,27,27,55.56,59.26,62.96,0.675,0.438,1.295,-9.075,1036,42.36
INJ/USDT,-0.05,False,True,27.12,0.32,-0.3955,-39.55,63.68,1.12,1528,0.2472,27,27,51.85,51.85,51.85,1.081,0.448,1.234,-9.641,1269,40.71
INJ/USDT,-0.05,True,False,10.23,0.2,-0.4127,-41.27,63.77,1.1,1314,0.2143,27,27,51.85,55.56,59.26,0.545,0.344,1.293,-9.267,1104,40.35
