symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
LINK/USDT,-0.07,False,False,34.12,0.44,-0.2432,-24.32,68.3,1.2,675,0.3875,27,27,74.07,74.07,74.07,0.96,0.826,2.354,-5.127,513,69.16
LINK/USDT,-0.07,False,True,34.63,0.44,-0.2389,-23.89,69.04,1.21,659,0.407,27,27,66.67,74.07,70.37,0.924,0.847,3.34,-5.104,501,66.29
LINK/USDT,-0.08,False,False,28.53,0.4,-0.1916,-19.16,69.89,1.19,538,0.4017,27,26,61.54,61.54,61.54,0.556,0.485,3.588,-4.853,391,63.75
LINK/USDT,-0.07,True,False,11.62,0.22,-0.2865,-28.65,67.47,1.13,578,0.2564,27,27,66.67,70.37,74.07,0.73,0.739,9.279,-5.002,445,62.77
LINK/USDT,-0.08,False,True,22.41,0.34,-0.2015,-20.15,70.08,1.17,518,0.3644,27,26,61.54,61.54,50.0,0.407,0.478,2.365,-4.853,376,62.62
LINK/USDT,-0.07,True,True,11.88,0.22,-0.2809,-28.09,67.96,1.13,565,0.262,27,27,62.96,70.37,74.07,0.689,0.804,12.377,-5.016,433,61.18
LINK/USDT,-0.05,False,True,0.39,0.1,-0.4067,-40.67,62.44,1.08,1041,0.1551,27,27,59.26,59.26,66.67,0.57,0.482,2.809,-6.601,833,56.57
LINK/USDT,-0.06,False,True,1.22,0.1,-0.3274,-32.74,64.2,1.09,810,0.1729,27,27,55.56,59.26,59.26,0.348,0.551,1.912,-6.031,630,54.92
LINK/USDT,-0.08,True,True,-3.49,0.02,-0.2585,-25.85,67.87,1.05,442,0.1033,27,25,56.0,56.0,48.0,-0.142,0.368,2.978,-4.97,322,54.8
LINK/USDT,-0.06,False,False,-1.67,0.07,-0.3501,-35.01,63.42,1.07,842,0.1466,27,27,51.85,51.85,62.96,0.381,0.498,2.103,-6.025,652,54.44
LINK/USDT,-0.05,True,True,-18.42,-0.14,-0.3909,-39.09,60.5,1.01,876,0.0162,27,27,55.56,55.56,59.26,0.087,0.317,2.399,-6.604,720,54.41
LINK/USDT,-0.05,True,False,-18.02,-0.13,-0.392,-39.2,60.18,1.01,894,0.0214,27,27,55.56,59.26,62.96,0.126,0.313,2.388,-6.574,737,54.38
LINK/USDT,-0.08,True,False,-4.02,0.02,-0.2714,-27.14,67.41,1.04,451,0.0992,27,26,53.85,53.85,53.85,-0.134,0.238,4.012,-4.814,329,53.83
LINK/USDT,-0.05,False,False,5.31,0.15,-0.4036,-40.36,62.18,1.09,1071,0.177,27,27,59.26,62.96,70.37,0.686,0.512,1.781,-6.576,856,52.75
LINK/USDT,-0.06,True,True,-15.16,-0.12,-0.3356,-33.56,63.13,1.02,689,0.0315,27,27,40.74,40.74,55.56,0.066,0.331,14.179,-5.86,545,49.58
LINK/USDT,-0.06,True,False,-17.54,-0.15,-0.346,-34.6,62.54,1.0,702,0.0082,27,27,40.74,40.74,55.56,0.017,0.252,14.043,-5.844,557,49.38
