symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
POL/USDT,-0.08,False,True,25.17,1.2,-0.0986,-9.86,73.48,1.66,132,1.0736,6,6,66.67,66.67,66.67,2.15,1.322,4.83,-3.178,66,68.9
POL/USDT,-0.08,False,False,24.87,1.17,-0.0967,-9.67,73.38,1.64,139,1.0203,6,6,66.67,66.67,66.67,1.893,1.095,3.137,-3.195,70,68.75
POL/USDT,-0.07,False,False,21.96,0.95,-0.12,-12.0,70.62,1.44,177,0.7556,6,6,66.67,66.67,66.67,1.977,0.855,2.233,-4.09,91,66.72
POL/USDT,-0.07,False,True,20.49,0.91,-0.12,-12.0,69.64,1.43,168,0.7498,6,6,66.67,66.67,66.67,1.833,0.898,2.215,-4.068,86,66.17
POL/USDT,-0.05,True,True,20.41,0.85,-0.1284,-12.84,65.38,1.34,260,0.5355,6,6,83.33,83.33,83.33,2.928,1.092,1.608,-5.672,168,65.76
POL/USDT,-0.06,False,True,14.68,0.66,-0.135,-13.5,65.94,1.27,229,0.4712,6,6,66.67,66.67,66.67,1.992,0.977,1.948,-4.857,132,63.34
POL/USDT,-0.08,True,True,11.78,0.67,-0.1279,-12.79,70.27,1.35,111,0.6725,6,6,66.67,66.67,66.67,1.775,1.325,4.817,-3.222,60,62.66
POL/USDT,-0.08,True,False,11.34,0.65,-0.1226,-12.26,71.05,1.34,114,0.6517,6,6,66.67,66.67,66.67,1.488,1.122,4.325,-3.332,61,62.62
POL/USDT,-0.06,True,True,13.45,0.63,-0.13,-13.0,67.84,1.27,199,0.4844,6,6,66.67,66.67,66.67,1.85,0.898,1.923,-4.77,122,62.14
POL/USDT,-0.06,True,False,13.52,0.63,-0.1178,-11.78,67.96,1.28,206,0.4907,6,6,66.67,83.33,83.33,1.83,0.87,1.792,-4.77,126,59.89
POL/USDT,-0.06,False,False,13.72,0.62,-0.1363,-13.63,65.68,1.26,236,0.4503,6,6,66.67,66.67,83.33,1.53,0.808,1.78,-5.007,137,59.68
POL/USDT,-0.05,True,False,16.94,0.71,-0.1325,-13.25,64.58,1.3,271,0.4717,6,6,66.67,66.67,83.33,2.662,0.995,1.573,-5.518,174,57.09
POL/USDT,-0.07,True,False,10.26,0.55,-0.1212,-12.12,69.01,1.26,142,0.4981,6,6,50.0,50.0,50.0,1.372,0.86,2.04,-4.08,78,55.44
POL/USDT,-0.07,True,True,10.25,0.55,-0.1278,-12.78,68.12,1.26,138,0.5017,6,6,50.0,50.0,50.0,1.602,1.015,2.13,-4.053,76,55.24
POL/USDT,-0.05,False,False,16.04,0.66,-0.1638,-16.38,63.75,1.25,320,0.4104,6,6,66.67,83.33,83.33,2.325,0.962,1.448,-5.968,198,54.29
POL/USDT,-0.05,False,True,15.96,0.66,-0.1615,-16.15,63.52,1.25,307,0.4177,6,6,66.67,66.67,83.33,2.398,0.98,1.457,-6.022,188,54.29
