symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
SOL/USDT,-0.08,False,True,42.27,0.49,-0.2612,-26.12,71.19,1.22,590,0.4646,27,25,72.0,76.0,64.0,0.697,0.979,1.704,-5.556,453,62.39
SOL/USDT,-0.07,True,True,22.99,0.33,-0.2652,-26.52,66.83,1.15,630,0.3127,27,27,59.26,62.96,59.26,0.087,0.549,1.97,-5.362,499,61.1
SOL/USDT,-0.06,False,True,40.93,0.44,-0.3287,-32.87,67.05,1.17,959,0.3365,27,27,59.26,59.26,59.26,0.264,0.609,1.891,-6.901,764,59.35
SOL/USDT,-0.07,False,False,46.59,0.5,-0.2967,-29.67,68.65,1.21,772,0.4189,27,27,51.85,59.26,66.67,0.132,0.509,1.964,-6.113,596,59.09
SOL/USDT,-0.07,False,True,45.22,0.49,-0.292,-29.2,68.63,1.21,746,0.42,27,27,48.15,55.56,66.67,0.294,0.65,2.893,-5.881,578,58.32
SOL/USDT,-0.08,False,False,36.43,0.44,-0.2803,-28.03,71.15,1.19,610,0.4114,27,26,69.23,73.08,57.69,0.475,0.845,1.512,-5.624,466,56.73
SOL/USDT,-0.08,True,True,17.13,0.28,-0.2593,-25.93,69.69,1.14,518,0.3088,27,25,56.0,64.0,52.0,0.41,0.811,1.824,-5.218,410,55.13
SOL/USDT,-0.08,True,False,13.22,0.23,-0.2492,-24.92,69.58,1.12,526,0.2696,27,26,53.85,61.54,46.15,0.245,0.702,1.716,-5.2,416,51.94
SOL/USDT,-0.06,False,False,40.39,0.43,-0.3246,-32.46,66.53,1.16,989,0.3295,27,27,55.56,59.26,62.96,0.079,0.48,1.553,-7.033,784,51.09
SOL/USDT,-0.06,True,True,27.15,0.35,-0.2709,-27.09,66.26,1.16,815,0.3096,27,27,48.15,48.15,48.15,0.178,0.431,1.663,-6.199,664,50.6
SOL/USDT,-0.07,True,False,18.61,0.28,-0.2551,-25.51,66.67,1.13,642,0.2809,27,27,55.56,59.26,55.56,-0.066,0.395,1.444,-5.559,510,48.8
SOL/USDT,-0.05,True,True,20.8,0.29,-0.303,-30.3,63.4,1.13,1011,0.2532,27,27,51.85,51.85,51.85,0.335,0.499,1.417,-6.886,840,45.92
SOL/USDT,-0.06,True,False,21.79,0.3,-0.261,-26.1,65.7,1.14,828,0.2767,27,27,48.15,48.15,51.85,0.033,0.312,1.438,-6.322,675,45.8
SOL/USDT,-0.05,True,False,10.4,0.2,-0.2976,-29.76,62.45,1.1,1036,0.1976,27,27,48.15,51.85,55.56,0.049,0.383,1.349,-7.036,863,42.29
SOL/USDT,-0.05,False,False,16.06,0.25,-0.4298,-42.98,62.65,1.11,1269,0.2119,27,27,51.85,59.26,62.96,-0.587,0.308,1.344,-7.981,1018,41.52
SOL/USDT,-0.05,False,True,15.85,0.24,-0.4275,-42.75,63.16,1.11,1227,0.214,27,27,48.15,55.56,62.96,-0.407,0.377,1.383,-7.935,991,40.77
