symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
SUI/USDT,-0.07,True,False,58.39,1.12,-0.1333,-13.33,68.84,1.49,398,0.7974,14,14,71.43,71.43,71.43,3.579,1.521,2.856,-6.266,340,73.74
SUI/USDT,-0.07,False,False,72.38,1.23,-0.1306,-13.06,69.0,1.5,458,0.814,14,14,71.43,71.43,78.57,4.066,1.364,1.885,-6.517,393,73.59
SUI/USDT,-0.08,False,True,60.82,1.19,-0.1274,-12.74,73.49,1.58,332,0.9642,14,14,71.43,71.43,71.43,3.269,1.271,2.859,-6.215,285,73.46
SUI/USDT,-0.07,True,True,55.19,1.08,-0.1296,-12.96,68.73,1.47,387,0.7821,14,14,71.43,71.43,71.43,3.45,1.474,2.911,-6.264,330,73.23
SUI/USDT,-0.07,False,True,70.96,1.23,-0.1175,-11.75,69.16,1.51,441,0.8299,14,14,64.29,64.29,64.29,4.028,1.455,2.13,-6.286,377,73.02
SUI/USDT,-0.08,False,False,60.82,1.17,-0.141,-14.1,73.1,1.56,342,0.9411,14,14,57.14,57.14,71.43,3.277,1.172,2.71,-6.401,295,67.44
SUI/USDT,-0.08,True,False,40.46,0.92,-0.1749,-17.49,71.92,1.45,292,0.8046,14,14,64.29,64.29,64.29,2.35,1.108,3.401,-6.229,250,66.28
SUI/USDT,-0.08,True,True,37.96,0.88,-0.1623,-16.23,72.08,1.44,283,0.7887,14,14,64.29,64.29,71.43,2.212,1.091,3.189,-6.079,241,65.99
SUI/USDT,-0.06,True,True,52.33,0.96,-0.1616,-16.16,66.27,1.36,510,0.6183,14,14,64.29,64.29,64.29,3.278,1.134,1.755,-6.965,434,65.68
SUI/USDT,-0.06,False,True,70.87,1.12,-0.1694,-16.94,66.33,1.39,591,0.6543,14,14,57.14,57.14,57.14,3.938,1.141,1.672,-7.461,504,63.96
SUI/USDT,-0.06,True,False,51.71,0.94,-0.1674,-16.74,66.29,1.36,525,0.6036,14,14,57.14,64.29,64.29,3.229,1.123,1.753,-7.103,447,62.72
SUI/USDT,-0.06,False,False,67.72,1.06,-0.2073,-20.73,66.34,1.37,609,0.627,14,14,57.14,57.14,64.29,3.801,1.109,1.656,-7.897,521,62.43
SUI/USDT,-0.05,False,True,52.9,0.85,-0.2311,-23.11,64.96,1.27,742,0.4657,14,14,64.29,64.29,64.29,3.395,1.032,1.544,-8.557,635,60.47
SUI/USDT,-0.05,False,False,49.9,0.8,-0.2278,-22.78,64.23,1.26,766,0.4472,14,14,64.29,64.29,64.29,3.321,0.988,1.533,-8.818,655,59.82
SUI/USDT,-0.05,True,True,35.79,0.67,-0.2635,-26.35,64.54,1.23,626,0.4156,14,14,64.29,64.29,71.43,2.65,0.939,1.585,-8.116,535,58.85
SUI/USDT,-0.05,True,False,30.12,0.58,-0.2678,-26.78,63.41,1.21,645,0.3702,14,14,64.29,71.43,71.43,2.494,0.871,1.564,-8.224,547,57.44
