symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
XRP/USDT,-0.06,False,True,60.39,0.67,-0.2024,-20.24,70.76,1.34,602,0.6041,27,26,69.23,69.23,61.54,1.125,1.271,2.645,-4.835,429,70.34
XRP/USDT,-0.06,False,False,57.83,0.65,-0.1981,-19.81,69.89,1.32,621,0.5725,27,26,69.23,73.08,69.23,1.156,1.248,2.647,-4.873,446,70.23
XRP/USDT,-0.06,True,False,35.08,0.48,-0.2242,-22.42,69.67,1.26,521,0.4697,27,26,76.92,76.92,69.23,1.205,1.361,4.125,-4.214,383,69.77
XRP/USDT,-0.05,False,True,65.36,0.67,-0.2003,-20.03,67.33,1.29,808,0.4922,27,27,66.67,66.67,66.67,1.081,1.221,8.144,-5.154,602,69.36
XRP/USDT,-0.08,True,True,37.43,0.56,-0.2242,-22.42,76.38,1.38,309,0.7673,27,23,82.61,82.61,69.57,1.306,1.046,2.889,-3.632,195,69.31
XRP/USDT,-0.05,False,False,62.51,0.65,-0.196,-19.6,66.22,1.28,829,0.4728,27,27,66.67,66.67,62.96,0.997,1.139,8.078,-5.212,621,69.25
XRP/USDT,-0.08,True,False,30.96,0.49,-0.2242,-22.42,75.39,1.33,317,0.6737,27,23,82.61,82.61,73.91,1.06,0.94,2.361,-3.799,202,68.74
XRP/USDT,-0.08,False,False,50.77,0.66,-0.2168,-21.68,75.76,1.41,396,0.7991,27,23,73.91,73.91,65.22,0.951,0.821,22.59,-4.26,248,68.43
XRP/USDT,-0.06,True,True,37.6,0.51,-0.2242,-22.42,70.61,1.27,507,0.5006,27,26,73.08,73.08,65.38,1.238,1.395,5.355,-4.17,371,68.3
XRP/USDT,-0.08,False,True,56.47,0.72,-0.2217,-22.17,76.72,1.45,378,0.8758,27,23,69.57,69.57,69.57,1.219,0.933,22.878,-4.18,234,66.89
XRP/USDT,-0.07,False,True,52.64,0.65,-0.2072,-20.72,72.05,1.36,458,0.6913,27,24,66.67,66.67,62.5,1.156,1.058,28.965,-4.484,306,66.66
XRP/USDT,-0.05,True,True,36.36,0.47,-0.2473,-24.73,67.1,1.22,687,0.3848,27,27,62.96,62.96,55.56,1.181,1.341,5.88,-4.618,526,64.94
XRP/USDT,-0.07,False,False,51.77,0.63,-0.2022,-20.22,71.52,1.34,474,0.6547,27,25,60.0,60.0,52.0,1.045,1.177,27.033,-4.392,320,64.16
XRP/USDT,-0.05,True,False,38.6,0.49,-0.2473,-24.73,66.57,1.23,700,0.39,27,27,59.26,62.96,55.56,1.214,1.336,6.507,-4.663,538,63.66
XRP/USDT,-0.07,True,False,27.76,0.42,-0.2242,-22.42,70.26,1.26,390,0.5077,27,25,68.0,68.0,56.0,0.935,1.071,24.025,-3.852,267,63.42
XRP/USDT,-0.07,True,True,31.1,0.46,-0.2242,-22.42,70.45,1.28,379,0.5535,27,24,66.67,70.83,62.5,1.113,0.985,25.715,-3.848,257,63.1
