symbol,short_ret24_threshold,donchian_window,adx_min,stability,median_return,median_max_dd,abs_median_max_dd,median_trades,windows
ADA/USDT,-0.05,24,22,41.53846153846153,-0.16,-0.9199999999999999,0.9199999999999999,4.0,13
ADA/USDT,-0.05,36,22,41.53846153846153,-0.16,-0.9199999999999999,0.9199999999999999,4.0,13
ADA/USDT,-0.05,48,22,41.53846153846153,-0.16,-1.02,1.02,4.0,13
ADA/USDT,-0.05,72,22,41.53846153846153,-0.54,-0.9199999999999999,0.9199999999999999,4.0,13
ADA/USDT,-0.05,24,18,41.53846153846153,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,24,20,41.53846153846153,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,36,18,41.53846153846153,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,36,20,41.53846153846153,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,48,18,41.53846153846153,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,48,20,41.53846153846153,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,72,18,41.53846153846153,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,72,20,41.53846153846153,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,24,16,33.84615384615385,-0.33,-1.02,1.02,5.0,13
ADA/USDT,-0.05,36,16,33.84615384615385,-0.33,-1.02,1.02,5.0,13
ADA/USDT,-0.05,72,16,33.84615384615385,-0.54,-1.02,1.02,4.0,13
ADA/USDT,-0.05,48,16,33.84615384615385,-0.74,-1.04,1.04,4.0,13
ADA/USDT,-0.04,24,22,33.57142857142857,-0.515,-1.165,1.165,5.0,14
ADA/USDT,-0.04,36,22,33.57142857142857,-0.515,-1.165,1.165,5.0,14
ADA/USDT,-0.04,48,22,33.57142857142857,-0.515,-1.165,1.165,5.0,14
ADA/USDT,-0.04,72,22,33.57142857142857,-0.515,-1.165,1.165,5.0,14
ADA/USDT,-0.06,24,20,28.461538461538463,-0.44,-0.8200000000000001,0.8200000000000001,3.0,13
