symbol,short_ret24_threshold,donchian_window,adx_min,stability,median_return,median_max_dd,abs_median_max_dd,median_trades,windows
BNB/USDT,-0.03,72,18,46.36363636363635,0.05,-0.44,0.44,4.0,11
BNB/USDT,-0.03,72,20,46.36363636363635,0.05,-0.44,0.44,4.0,11
BNB/USDT,-0.03,72,22,46.36363636363635,0.05,-0.44,0.44,4.0,11
BNB/USDT,-0.06,72,16,44.285714285714285,0.09,-0.42,0.42,3.0,7
BNB/USDT,-0.06,72,18,44.285714285714285,0.09,-0.42,0.42,3.0,7
BNB/USDT,-0.06,72,20,44.285714285714285,0.09,-0.42,0.42,3.0,7
BNB/USDT,-0.06,72,22,44.285714285714285,0.09,-0.42,0.42,3.0,7
BNB/USDT,-0.03,72,16,42.5,0.010000000000000002,-0.43,0.43,3.5,12
BNB/USDT,-0.04,72,16,41.0,-0.15000000000000002,-0.455,0.455,3.5,10
BNB/USDT,-0.04,72,18,41.0,-0.15000000000000002,-0.475,0.475,3.5,10
BNB/USDT,-0.03,36,22,40.0,-0.02,-0.47000000000000003,0.47000000000000003,4.0,11
BNB/USDT,-0.03,48,22,40.0,-0.03,-0.47000000000000003,0.47000000000000003,4.0,11
BNB/USDT,-0.04,72,22,38.0,-0.135,-0.455,0.455,3.0,10
BNB/USDT,-0.04,72,20,38.0,-0.15000000000000002,-0.475,0.475,3.5,10
BNB/USDT,-0.03,36,18,36.36363636363636,-0.02,-0.47000000000000003,0.47000000000000003,4.0,11
BNB/USDT,-0.03,36,20,36.36363636363636,-0.02,-0.47000000000000003,0.47000000000000003,4.0,11
BNB/USDT,-0.03,48,18,36.36363636363636,-0.03,-0.47000000000000003,0.47000000000000003,4.0,11
BNB/USDT,-0.03,48,20,36.36363636363636,-0.03,-0.47000000000000003,0.47000000000000003,4.0,11
BNB/USDT,-0.06,36,16,34.285714285714285,-0.29,-0.54,0.54,3.0,7
BNB/USDT,-0.06,36,18,34.285714285714285,-0.29,-0.54,0.54,3.0,7
BNB/USDT,-0.06,36,20,34.285714285714285,-0.29,-0.54,0.54,3.0,7
BNB/USDT,-0.06,36,22,34.285714285714285,-0.29,-0.54,0.54,3.0,7
BNB/USDT,-0.06,48,16,34.285714285714285,-0.29,-0.54,0.54,3.0,7
BNB/USDT,-0.06,48,18,34.285714285714285,-0.29,-0.54,0.54,3.0,7
BNB/USDT,-0.06,48,20,34.285714285714285,-0.29,-0.54,0.54,3.0,7
BNB/USDT,-0.06,48,22,34.285714285714285,-0.29,-0.54,0.54,3.0,7
BNB/USDT,-0.04,24,22,34.0,-0.19499999999999998,-0.54,0.54,3.5,10
BNB/USDT,-0.04,36,16,34.0,-0.33499999999999996,-0.48,0.48,3.5,10
BNB/USDT,-0.04,36,18,34.0,-0.33499999999999996,-0.485,0.485,3.5,10
BNB/USDT,-0.04,24,20,34.0,-0.33499999999999996,-0.54,0.54,3.5,10
BNB/USDT,-0.04,48,16,34.0,-0.34,-0.48,0.48,3.5,10
BNB/USDT,-0.04,48,18,34.0,-0.34,-0.485,0.485,3.5,10
BNB/USDT,-0.03,48,16,33.333333333333336,-0.18,-0.47,0.47,3.5,12
BNB/USDT,-0.03,36,16,33.333333333333336,-0.2,-0.47,0.47,3.5,12
BNB/USDT,-0.05,72,16,31.0,-0.15,-0.48,0.48,3.0,10
BNB/USDT,-0.05,72,18,31.0,-0.15,-0.48,0.48,3.0,10
BNB/USDT,-0.05,72,20,31.0,-0.15,-0.48,0.48,3.0,10
BNB/USDT,-0.05,72,22,31.0,-0.15,-0.48,0.48,3.0,10
BNB/USDT,-0.04,36,22,31.0,-0.19499999999999998,-0.485,0.485,3.5,10
BNB/USDT,-0.04,48,22,31.0,-0.2,-0.485,0.485,3.5,10
