symbol,short_ret24_threshold,donchian_window,adx_min,stability,median_return,median_max_dd,abs_median_max_dd,median_trades,windows
DOGE/USDT,-0.05,24,22,70.0,0.565,-0.5549999999999999,0.5549999999999999,5.0,14
DOGE/USDT,-0.05,36,22,65.0,0.43000000000000005,-0.5549999999999999,0.5549999999999999,5.0,14
DOGE/USDT,-0.05,48,22,65.0,0.43000000000000005,-0.5549999999999999,0.5549999999999999,5.0,14
DOGE/USDT,-0.06,24,16,62.857142857142854,0.725,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,36,16,62.857142857142854,0.725,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,48,16,62.857142857142854,0.725,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,24,18,62.857142857142854,0.72,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,36,18,62.857142857142854,0.72,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,48,18,62.857142857142854,0.72,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,24,20,62.857142857142854,0.7150000000000001,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,36,20,62.857142857142854,0.7150000000000001,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,48,20,62.857142857142854,0.7150000000000001,-0.5599999999999999,0.5599999999999999,4.5,14
DOGE/USDT,-0.06,24,22,60.714285714285715,0.765,-0.5549999999999999,0.5549999999999999,4.5,14
DOGE/USDT,-0.06,36,22,60.714285714285715,0.765,-0.5549999999999999,0.5549999999999999,4.5,14
DOGE/USDT,-0.06,48,22,60.714285714285715,0.765,-0.5549999999999999,0.5549999999999999,4.5,14
DOGE/USDT,-0.05,72,22,60.00000000000001,0.39,-0.5549999999999999,0.5549999999999999,5.0,14
DOGE/USDT,-0.04,24,22,60.00000000000001,0.22499999999999998,-0.6000000000000001,0.6000000000000001,5.5,14
DOGE/USDT,-0.04,36,22,60.00000000000001,0.22499999999999998,-0.6000000000000001,0.6000000000000001,5.5,14
