symbol,short_ret24_threshold,donchian_window,adx_min,stability,median_return,median_max_dd,abs_median_max_dd,median_trades,windows
LINK/USDT,-0.06,48,20,67.85714285714286,0.18,-0.5700000000000001,0.5700000000000001,4.0,14
LINK/USDT,-0.06,72,20,65.71428571428571,0.205,-0.56,0.56,4.0,14
LINK/USDT,-0.06,36,20,60.714285714285715,0.18,-0.5700000000000001,0.5700000000000001,4.0,14
LINK/USDT,-0.06,24,20,60.714285714285715,0.18,-0.66,0.66,4.0,14
LINK/USDT,-0.06,48,16,60.714285714285715,0.16499999999999998,-0.5700000000000001,0.5700000000000001,4.0,14
LINK/USDT,-0.06,48,18,60.714285714285715,0.16499999999999998,-0.5700000000000001,0.5700000000000001,4.0,14
LINK/USDT,-0.04,72,20,60.00000000000001,0.24,-0.945,0.945,5.0,14
LINK/USDT,-0.04,72,18,60.00000000000001,0.235,-0.945,0.945,5.0,14
LINK/USDT,-0.06,72,16,58.57142857142857,0.175,-0.56,0.56,4.0,14
LINK/USDT,-0.06,72,18,58.57142857142857,0.175,-0.56,0.56,4.0,14
LINK/USDT,-0.06,48,22,58.57142857142857,0.16499999999999998,-0.49,0.49,4.0,14
LINK/USDT,-0.05,72,16,57.85714285714286,0.175,-0.985,0.985,4.5,14
LINK/USDT,-0.05,72,18,57.85714285714286,0.11,-0.985,0.985,4.5,14
LINK/USDT,-0.06,72,22,56.42857142857143,0.175,-0.49,0.49,4.0,14
LINK/USDT,-0.03,24,20,55.0,0.30999999999999994,-1.125,1.125,6.0,14
LINK/USDT,-0.04,48,20,55.0,0.185,-0.8,0.8,5.5,14
LINK/USDT,-0.03,48,20,55.0,0.185,-1.04,1.04,6.0,14
LINK/USDT,-0.03,48,22,55.0,0.13,-1.04,1.04,6.0,14
LINK/USDT,-0.04,48,18,55.0,0.125,-0.895,0.895,5.5,14
LINK/USDT,-0.03,48,16,55.0,0.09999999999999999,-1.04,1.04,6.5,14
LINK/USDT,-0.03,24,16,55.0,0.034999999999999996,-1.2249999999999999,1.2249999999999999,7.0,14
LINK/USDT,-0.03,72,20,52.857142857142854,0.30999999999999994,-0.97,0.97,5.5,14
LINK/USDT,-0.04,48,22,52.857142857142854,0.075,-0.8,0.8,5.5,14
LINK/USDT,-0.04,72,22,52.857142857142854,0.025,-0.78,0.78,5.0,14
LINK/USDT,-0.06,36,22,51.42857142857144,0.15,-0.49,0.49,4.0,14
LINK/USDT,-0.06,24,22,51.42857142857144,0.15,-0.5700000000000001,0.5700000000000001,4.0,14
LINK/USDT,-0.05,72,20,50.714285714285715,0.155,-0.885,0.885,4.5,14
LINK/USDT,-0.04,72,16,50.714285714285715,0.13,-0.87,0.87,5.0,14
LINK/USDT,-0.04,24,20,50.0,0.06499999999999999,-0.985,0.985,6.0,14
LINK/USDT,-0.03,24,22,50.0,0.019999999999999997,-1.125,1.125,6.0,14
LINK/USDT,-0.04,24,18,50.0,0.0049999999999999975,-1.065,1.065,6.0,14
LINK/USDT,-0.06,36,16,48.57142857142857,0.08,-0.6100000000000001,0.6100000000000001,4.0,14
LINK/USDT,-0.06,36,18,48.57142857142857,0.08,-0.6100000000000001,0.6100000000000001,4.0,14
LINK/USDT,-0.06,24,18,48.57142857142857,0.08,-0.66,0.66,4.0,14
LINK/USDT,-0.06,24,16,48.57142857142857,0.08,-0.71,0.71,4.0,14
LINK/USDT,-0.03,72,22,47.857142857142854,0.06499999999999999,-0.97,0.97,5.5,14
LINK/USDT,-0.04,36,22,47.857142857142854,0.005000000000000001,-0.8,0.8,5.5,14
LINK/USDT,-0.04,24,22,47.857142857142854,0.005000000000000001,-0.945,0.945,6.0,14
LINK/USDT,-0.03,36,20,47.857142857142854,-0.020000000000000018,-1.0999999999999999,1.0999999999999999,6.0,14
LINK/USDT,-0.05,48,16,47.857142857142854,-0.029999999999999992,-0.815,0.815,5.0,14
LINK/USDT,-0.05,36,16,47.857142857142854,-0.029999999999999992,-1.02,1.02,5.0,14
LINK/USDT,-0.05,48,18,47.857142857142854,-0.03499999999999999,-0.815,0.815,5.0,14
LINK/USDT,-0.05,36,18,47.857142857142854,-0.03499999999999999,-0.9299999999999999,0.9299999999999999,5.0,14
LINK/USDT,-0.03,48,18,47.857142857142854,-0.06500000000000002,-1.04,1.04,6.0,14
LINK/USDT,-0.05,24,16,47.857142857142854,-0.11000000000000001,-1.02,1.02,5.0,14
LINK/USDT,-0.05,24,18,47.857142857142854,-0.115,-0.9299999999999999,0.9299999999999999,5.0,14
LINK/USDT,-0.04,48,16,47.857142857142854,-0.13,-0.7949999999999999,0.7949999999999999,5.5,14
LINK/USDT,-0.03,24,18,47.857142857142854,-0.13,-1.2,1.2,6.5,14
LINK/USDT,-0.04,24,16,47.857142857142854,-0.21000000000000002,-1.155,1.155,6.5,14
LINK/USDT,-0.03,36,16,47.857142857142854,-0.395,-1.335,1.335,6.5,14
LINK/USDT,-0.05,48,20,45.714285714285715,-0.029999999999999992,-0.905,0.905,5.0,14
LINK/USDT,-0.05,72,22,43.57142857142857,-0.029999999999999992,-0.885,0.885,4.5,14
LINK/USDT,-0.05,48,22,43.57142857142857,-0.029999999999999992,-0.905,0.905,4.5,14
LINK/USDT,-0.05,36,22,43.57142857142857,-0.029999999999999992,-1.02,1.02,4.5,14
LINK/USDT,-0.05,24,22,43.57142857142857,-0.04,-1.02,1.02,4.5,14
LINK/USDT,-0.05,36,20,40.714285714285715,-0.18,-1.02,1.02,5.0,14
LINK/USDT,-0.03,72,16,40.714285714285715,-0.185,-0.87,0.87,6.0,14
LINK/USDT,-0.04,36,20,40.714285714285715,-0.22499999999999998,-0.945,0.945,5.5,14
LINK/USDT,-0.04,36,18,40.714285714285715,-0.22499999999999998,-1.04,1.04,5.5,14
LINK/USDT,-0.05,24,20,40.714285714285715,-0.26,-1.02,1.02,5.0,14
LINK/USDT,-0.03,36,22,40.714285714285715,-0.27,-1.0999999999999999,1.0999999999999999,6.0,14
LINK/USDT,-0.03,36,18,40.714285714285715,-0.51,-1.1199999999999999,1.1199999999999999,6.5,14
LINK/USDT,-0.04,36,16,40.714285714285715,-0.51,-1.175,1.175,6.0,14
LINK/USDT,-0.03,72,18,38.57142857142857,-0.185,-0.87,0.87,5.5,14
