symbol,short_ret24_threshold,donchian_window,adx_min,stability,median_return,median_max_dd,abs_median_max_dd,median_trades,windows
SOL/USDT,-0.06,72,16,36.15384615384616,-0.41000000000000003,-0.8099999999999999,0.8099999999999999,5.0,13
SOL/USDT,-0.06,72,22,33.84615384615385,-0.45999999999999996,-0.83,0.83,5.0,13
SOL/USDT,-0.06,48,16,33.57142857142857,-0.435,-0.8099999999999999,0.8099999999999999,5.0,14
SOL/USDT,-0.06,24,16,33.57142857142857,-0.435,-0.82,0.82,5.0,14
SOL/USDT,-0.06,36,16,33.57142857142857,-0.435,-0.82,0.82,5.0,14
SOL/USDT,-0.06,48,22,31.428571428571427,-0.5,-0.82,0.82,5.0,14
SOL/USDT,-0.06,24,22,31.428571428571427,-0.5,-0.8799999999999999,0.8799999999999999,5.0,14
SOL/USDT,-0.06,36,22,31.428571428571427,-0.5,-0.8799999999999999,0.8799999999999999,5.0,14
SOL/USDT,-0.03,72,16,28.57142857142857,-0.605,-0.9199999999999999,0.9199999999999999,6.5,14
SOL/USDT,-0.06,72,18,28.461538461538463,-0.45999999999999996,-0.83,0.83,5.0,13
SOL/USDT,-0.06,72,20,28.461538461538463,-0.45999999999999996,-0.83,0.83,5.0,13
SOL/USDT,-0.04,72,22,28.461538461538463,-0.54,-0.8099999999999999,0.8099999999999999,5.0,13
SOL/USDT,-0.06,48,18,26.428571428571427,-0.5,-0.82,0.82,5.0,14
SOL/USDT,-0.06,48,20,26.428571428571427,-0.5,-0.82,0.82,5.0,14
SOL/USDT,-0.06,24,18,26.428571428571427,-0.5,-0.8999999999999999,0.8999999999999999,5.0,14
SOL/USDT,-0.06,36,18,26.428571428571427,-0.5,-0.8999999999999999,0.8999999999999999,5.0,14
SOL/USDT,-0.06,24,20,26.428571428571427,-0.5,-0.97,0.97,5.0,14
SOL/USDT,-0.06,36,20,26.428571428571427,-0.5,-0.97,0.97,5.0,14
SOL/USDT,-0.04,24,22,26.428571428571427,-0.645,-1.03,1.03,5.0,14
SOL/USDT,-0.04,48,22,26.428571428571427,-0.735,-0.845,0.845,5.0,14
SOL/USDT,-0.04,36,22,26.428571428571427,-0.7450000000000001,-1.01,1.01,5.0,14
SOL/USDT,-0.03,72,18,23.57142857142857,-0.6000000000000001,-0.9199999999999999,0.9199999999999999,6.5,14
SOL/USDT,-0.04,72,18,23.076923076923077,-0.83,-0.8500000000000001,0.8500000000000001,6.0,13
SOL/USDT,-0.03,72,22,21.428571428571427,-0.495,-0.875,0.875,6.0,14
SOL/USDT,-0.05,36,22,21.428571428571427,-0.5,-0.8300000000000001,0.8300000000000001,5.0,14
SOL/USDT,-0.05,24,22,21.428571428571427,-0.5,-0.85,0.85,5.0,14
SOL/USDT,-0.05,24,18,21.428571428571427,-0.61,-0.9450000000000001,0.9450000000000001,5.5,14
SOL/USDT,-0.05,36,18,21.428571428571427,-0.63,-0.8300000000000001,0.8300000000000001,5.5,14
SOL/USDT,-0.05,24,16,21.428571428571427,-0.645,-1.005,1.005,5.5,14
SOL/USDT,-0.05,36,16,21.428571428571427,-0.65,-0.93,0.93,5.5,14
SOL/USDT,-0.04,24,18,21.428571428571427,-0.79,-1.0899999999999999,1.0899999999999999,6.5,14
SOL/USDT,-0.04,24,16,21.428571428571427,-0.81,-1.15,1.15,6.5,14
SOL/USDT,-0.04,36,18,21.428571428571427,-0.89,-1.0899999999999999,1.0899999999999999,6.5,14
SOL/USDT,-0.04,48,18,21.428571428571427,-0.89,-1.105,1.105,6.0,14
SOL/USDT,-0.04,36,16,21.428571428571427,-0.89,-1.19,1.19,6.5,14
SOL/USDT,-0.05,72,18,20.769230769230766,-0.35000000000000003,-0.8500000000000001,0.8500000000000001,5.0,13
SOL/USDT,-0.05,72,16,20.769230769230766,-0.42,-1.01,1.01,5.0,13
SOL/USDT,-0.05,72,22,20.769230769230766,-0.45999999999999996,-0.8500000000000001,0.8500000000000001,5.0,13
SOL/USDT,-0.04,72,20,20.0,-0.54,-0.8099999999999999,0.8099999999999999,6.0,13
SOL/USDT,-0.03,24,22,20.0,-0.64,-1.17,1.17,6.0,15
SOL/USDT,-0.03,36,22,20.0,-0.64,-1.17,1.17,6.0,15
SOL/USDT,-0.03,48,22,20.0,-0.83,-1.18,1.18,6.0,15
SOL/USDT,-0.05,48,18,19.285714285714285,-0.385,-0.93,0.93,5.0,14
SOL/USDT,-0.05,48,22,19.285714285714285,-0.5,-0.8300000000000001,0.8300000000000001,5.0,14
SOL/USDT,-0.05,48,16,19.285714285714285,-0.53,-1.02,1.02,5.0,14
SOL/USDT,-0.03,72,20,18.57142857142857,-0.495,-0.875,0.875,6.0,14
SOL/USDT,-0.04,72,16,17.692307692307693,-0.83,-1.01,1.01,6.0,13
SOL/USDT,-0.03,48,18,17.333333333333336,-0.75,-1.2,1.2,7.0,15
SOL/USDT,-0.04,48,16,16.428571428571427,-0.935,-1.19,1.19,6.5,14
SOL/USDT,-0.05,72,20,15.384615384615385,-0.35000000000000003,-0.8500000000000001,0.8500000000000001,5.0,13
SOL/USDT,-0.03,24,18,15.333333333333334,-0.65,-1.18,1.18,7.0,15
SOL/USDT,-0.03,36,18,15.333333333333334,-0.69,-1.2,1.2,7.0,15
SOL/USDT,-0.05,36,20,14.285714285714285,-0.55,-0.8099999999999999,0.8099999999999999,5.5,14
SOL/USDT,-0.05,24,20,14.285714285714285,-0.55,-0.85,0.85,5.5,14
SOL/USDT,-0.04,24,20,13.57142857142857,-0.645,-1.03,1.03,6.5,14
SOL/USDT,-0.04,48,20,13.57142857142857,-0.735,-0.845,0.845,6.0,14
SOL/USDT,-0.04,36,20,13.57142857142857,-0.7450000000000001,-1.01,1.01,6.5,14
SOL/USDT,-0.03,24,20,13.333333333333334,-0.64,-1.18,1.18,7.0,15
SOL/USDT,-0.03,48,16,13.333333333333334,-0.64,-1.2,1.2,7.0,15
SOL/USDT,-0.03,48,20,13.333333333333334,-0.64,-1.2,1.2,7.0,15
SOL/USDT,-0.03,24,16,13.333333333333334,-0.69,-1.2,1.2,7.0,15
SOL/USDT,-0.03,36,16,13.333333333333334,-0.69,-1.2,1.2,7.0,15
SOL/USDT,-0.03,36,20,13.333333333333334,-0.79,-1.2,1.2,7.0,15
SOL/USDT,-0.05,48,20,12.142857142857142,-0.43999999999999995,-0.8300000000000001,0.8300000000000001,5.0,14
