symbol,short_ret24_threshold,donchian_window,adx_min,stability,median_return,median_max_dd,abs_median_max_dd,median_trades,windows
SUI/USDT,-0.05,72,22,53.84615384615385,0.04,-1.02,1.02,5.0,13
SUI/USDT,-0.05,24,22,51.53846153846154,0.09,-1.21,1.21,6.0,13
SUI/USDT,-0.06,24,22,49.23076923076923,0.22,-1.09,1.09,5.0,13
SUI/USDT,-0.05,24,20,47.857142857142854,-0.22000000000000003,-1.19,1.19,6.5,14
SUI/USDT,-0.05,36,22,46.15384615384615,-0.16,-1.09,1.09,5.0,13
SUI/USDT,-0.05,48,22,46.15384615384615,-0.16,-1.09,1.09,5.0,13
SUI/USDT,-0.06,72,22,43.84615384615385,-0.18,-1.09,1.09,5.0,13
SUI/USDT,-0.06,36,22,43.84615384615385,-0.24,-1.09,1.09,5.0,13
SUI/USDT,-0.06,48,22,43.84615384615385,-0.24,-1.09,1.09,5.0,13
SUI/USDT,-0.03,24,22,43.84615384615385,-0.32,-1.17,1.17,7.0,13
SUI/USDT,-0.04,24,22,43.84615384615385,-0.32,-1.17,1.17,7.0,13
SUI/USDT,-0.05,24,18,42.857142857142854,-0.28,-1.415,1.415,7.0,14
SUI/USDT,-0.05,72,20,42.857142857142854,-0.385,-0.995,0.995,5.5,14
SUI/USDT,-0.05,48,20,42.857142857142854,-0.385,-1.115,1.115,6.0,14
SUI/USDT,-0.05,36,20,42.857142857142854,-0.385,-1.19,1.19,6.0,14
SUI/USDT,-0.03,48,22,40.769230769230774,-0.32,-1.17,1.17,7.0,13
SUI/USDT,-0.04,24,20,40.714285714285715,-0.485,-1.2650000000000001,1.2650000000000001,7.5,14
SUI/USDT,-0.06,24,18,40.714285714285715,-0.6900000000000001,-1.13,1.13,6.0,14
SUI/USDT,-0.06,24,20,40.714285714285715,-0.6900000000000001,-1.13,1.13,5.5,14
SUI/USDT,-0.06,24,16,40.714285714285715,-0.6900000000000001,-1.24,1.24,6.0,14
SUI/USDT,-0.05,24,16,40.0,-0.28,-1.415,1.415,7.0,14
SUI/USDT,-0.04,36,22,38.46153846153847,-0.32,-1.17,1.17,7.0,13
SUI/USDT,-0.04,48,22,38.46153846153847,-0.32,-1.17,1.17,7.0,13
SUI/USDT,-0.04,72,22,38.46153846153847,-0.32,-1.17,1.17,7.0,13
