symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,rsi_min,rsi_max,min_volume_mult,take_profit_pct,stop_loss_pct,hold_timeout_hours,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score_base,robust_score,robust_horizon_details,score
BNB/USDT,0.03,True,False,True,55.0,85.0,0.8,0.02,0.04,12,3.38,1.31,-0.0151,-1.51,66.67,2.11,63,0.539,3,3,100.0,100.0,100.0,1.147,1.953,2.34,-1.07,55,84.15,59.62,"{""365"": {""score"": 84.15, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 63, ""total_return_pct"": 3.38, ""max_drawdown_pct"": -1.51}, ""1095"": {""score"": 53.1, ""wf_positive_pct"": 46.15, ""wf_sharpe_positive_pct"": 46.15, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 192, ""total_return_pct"": 0.31, ""max_drawdown_pct"": -4.59}, ""1825"": {""score"": 53.73, ""wf_positive_pct"": 46.15, ""wf_sharpe_positive_pct"": 46.15, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 551, ""total_return_pct"": -12.93, ""max_drawdown_pct"": -16.75}}",59.62
BNB/USDT,0.07,False,False,False,55.0,95.0,0.8,0.03,0.04,12,1.54,0.44,-0.0424,-4.24,61.22,1.29,49,0.3237,3,3,33.33,33.33,33.33,-0.293,-0.457,202.687,-1.963,42,50.05,58.94,"{""365"": {""score"": 50.05, ""wf_positive_pct"": 33.33, ""wf_sharpe_positive_pct"": 33.33, ""wf_pf_above_1_pct"": 33.33, ""total_trades"": 49, ""total_return_pct"": 1.54, ""max_drawdown_pct"": -4.24}, ""1095"": {""score"": 56.39, ""wf_positive_pct"": 58.33, ""wf_sharpe_positive_pct"": 58.33, ""wf_pf_above_1_pct"": 41.67, ""total_trades"": 197, ""total_return_pct"": -1.04, ""max_drawdown_pct"": -8.0}, ""1825"": {""score"": 64.03, ""wf_positive_pct"": 60.87, ""wf_sharpe_positive_pct"": 60.87, ""wf_pf_above_1_pct"": 39.13, ""total_trades"": 747, ""total_return_pct"": 2.93, ""max_drawdown_pct"": -12.55}}",58.94
BNB/USDT,0.03,True,False,True,60.0,90.0,0.8,0.02,0.05,12,1.81,0.79,-0.0145,-1.45,62.26,1.71,53,0.4015,3,3,100.0,100.0,100.0,0.693,1.323,2.307,-1.19,46,79.37,58.9,"{""365"": {""score"": 79.37, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 53, ""total_return_pct"": 1.81, ""max_drawdown_pct"": -1.45}, ""1095"": {""score"": 55.22, ""wf_positive_pct"": 53.85, ""wf_sharpe_positive_pct"": 53.85, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 167, ""total_return_pct"": -1.68, ""max_drawdown_pct"": -4.76}, ""1825"": {""score"": 52.92, ""wf_positive_pct"": 46.15, ""wf_sharpe_positive_pct"": 46.15, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 455, ""total_return_pct"": -12.25, ""max_drawdown_pct"": -15.38}}",58.9
BNB/USDT,0.03,True,False,True,55.0,85.0,0.8,0.02,0.04,24,3.13,1.05,-0.0178,-1.78,71.19,2.05,59,0.5586,3,3,100.0,100.0,100.0,1.207,1.777,2.973,-1.187,51,81.69,58.78,"{""365"": {""score"": 81.69, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 59, ""total_return_pct"": 3.13, ""max_drawdown_pct"": -1.78}, ""1095"": {""score"": 54.99, ""wf_positive_pct"": 53.85, ""wf_sharpe_positive_pct"": 53.85, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 176, ""total_return_pct"": -1.03, ""max_drawdown_pct"": -5.97}, ""1825"": {""score"": 51.89, ""wf_positive_pct"": 42.31, ""wf_sharpe_positive_pct"": 42.31, ""wf_pf_above_1_pct"": 38.46, ""total_trades"": 496, ""total_return_pct"": -11.72, ""max_drawdown_pct"": -15.67}}",58.78
BNB/USDT,0.03,True,False,True,60.0,90.0,0.8,0.02,0.06,12,1.96,0.85,-0.0143,-1.43,62.26,1.77,53,0.4197,3,3,100.0,100.0,100.0,0.743,1.42,2.36,-1.183,46,79.91,58.75,"{""365"": {""score"": 79.91, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 53, ""total_return_pct"": 1.96, ""max_drawdown_pct"": -1.43}, ""1095"": {""score"": 55.35, ""wf_positive_pct"": 53.85, ""wf_sharpe_positive_pct"": 53.85, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 164, ""total_return_pct"": -0.83, ""max_drawdown_pct"": -4.17}, ""1825"": {""score"": 52.32, ""wf_positive_pct"": 46.15, ""wf_sharpe_positive_pct"": 46.15, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 449, ""total_return_pct"": -12.43, ""max_drawdown_pct"": -17.24}}",58.75
BNB/USDT,0.07,False,False,False,55.0,95.0,0.8,0.02,0.04,12,0.67,0.21,-0.0386,-3.86,64.71,1.19,51,0.1852,3,3,33.33,33.33,33.33,-0.347,-0.437,181.487,-1.81,44,48.11,58.39,"{""365"": {""score"": 48.11, ""wf_positive_pct"": 33.33, ""wf_sharpe_positive_pct"": 33.33, ""wf_pf_above_1_pct"": 33.33, ""total_trades"": 51, ""total_return_pct"": 0.67, ""max_drawdown_pct"": -3.86}, ""1095"": {""score"": 56.97, ""wf_positive_pct"": 58.33, ""wf_sharpe_positive_pct"": 58.33, ""wf_pf_above_1_pct"": 41.67, ""total_trades"": 217, ""total_return_pct"": -0.4, ""max_drawdown_pct"": -6.8}, ""1825"": {""score"": 63.35, ""wf_positive_pct"": 56.52, ""wf_sharpe_positive_pct"": 56.52, ""wf_pf_above_1_pct"": 39.13, ""total_trades"": 832, ""total_return_pct"": 2.13, ""max_drawdown_pct"": -10.83}}",58.39
BNB/USDT,0.06,True,False,False,60.0,90.0,0.8,0.02,0.04,24,-1.89,-0.44,-0.0637,-6.37,60.61,0.92,66,-0.0938,3,3,33.33,33.33,33.33,-1.59,-2.1,2.147,-2.953,47,45.71,57.28,"{""365"": {""score"": 45.71, ""wf_positive_pct"": 33.33, ""wf_sharpe_positive_pct"": 33.33, ""wf_pf_above_1_pct"": 33.33, ""total_trades"": 66, ""total_return_pct"": -1.89, ""max_drawdown_pct"": -6.37}, ""1095"": {""score"": 52.58, ""wf_positive_pct"": 53.33, ""wf_sharpe_positive_pct"": 53.33, ""wf_pf_above_1_pct"": 46.67, ""total_trades"": 261, ""total_return_pct"": -4.2, ""max_drawdown_pct"": -9.44}, ""1825"": {""score"": 64.72, ""wf_positive_pct"": 62.96, ""wf_sharpe_positive_pct"": 62.96, ""wf_pf_above_1_pct"": 44.44, ""total_trades"": 850, ""total_return_pct"": -6.89, ""max_drawdown_pct"": -11.45}}",57.28
BNB/USDT,0.06,True,False,False,65.0,95.0,0.8,0.02,0.06,24,0.19,0.07,-0.0523,-5.23,68.97,1.17,58,0.1867,3,3,33.33,33.33,33.33,-0.83,-1.16,2.213,-2.463,40,46.56,56.24,"{""365"": {""score"": 46.56, ""wf_positive_pct"": 33.33, ""wf_sharpe_positive_pct"": 33.33, ""wf_pf_above_1_pct"": 33.33, ""total_trades"": 58, ""total_return_pct"": 0.19, ""max_drawdown_pct"": -5.23}, ""1095"": {""score"": 52.94, ""wf_positive_pct"": 60.0, ""wf_sharpe_positive_pct"": 60.0, ""wf_pf_above_1_pct"": 53.33, ""total_trades"": 220, ""total_return_pct"": -2.38, ""max_drawdown_pct"": -9.52}, ""1825"": {""score"": 62.1, ""wf_positive_pct"": 62.96, ""wf_sharpe_positive_pct"": 62.96, ""wf_pf_above_1_pct"": 44.44, ""total_trades"": 680, ""total_return_pct"": -7.45, ""max_drawdown_pct"": -15.46}}",56.24
BNB/USDT,0.07,False,False,False,55.0,95.0,0.8,0.02,0.05,12,-0.12,-0.02,-0.0452,-4.52,63.27,1.01,49,0.0147,3,3,33.33,33.33,33.33,-0.607,-0.657,181.423,-1.843,42,46.01,56.12,"{""365"": {""score"": 46.01, ""wf_positive_pct"": 33.33, ""wf_sharpe_positive_pct"": 33.33, ""wf_pf_above_1_pct"": 33.33, ""total_trades"": 49, ""total_return_pct"": -0.12, ""max_drawdown_pct"": -4.52}, ""1095"": {""score"": 53.01, ""wf_positive_pct"": 50.0, ""wf_sharpe_positive_pct"": 50.0, ""wf_pf_above_1_pct"": 41.67, ""total_trades"": 205, ""total_return_pct"": -2.71, ""max_drawdown_pct"": -9.13}, ""1825"": {""score"": 62.02, ""wf_positive_pct"": 56.52, ""wf_sharpe_positive_pct"": 56.52, ""wf_pf_above_1_pct"": 34.78, ""total_trades"": 797, ""total_return_pct"": -3.88, ""max_drawdown_pct"": -12.23}}",56.12
BNB/USDT,0.06,True,False,False,65.0,95.0,0.8,0.02,0.05,24,-0.35,-0.07,-0.0467,-4.67,64.41,1.06,59,0.066,3,3,33.33,33.33,33.33,-1.007,-1.33,2.173,-2.237,41,46.1,55.87,"{""365"": {""score"": 46.1, ""wf_positive_pct"": 33.33, ""wf_sharpe_positive_pct"": 33.33, ""wf_pf_above_1_pct"": 33.33, ""total_trades"": 59, ""total_return_pct"": -0.35, ""max_drawdown_pct"": -4.67}, ""1095"": {""score"": 49.28, ""wf_positive_pct"": 53.33, ""wf_sharpe_positive_pct"": 53.33, ""wf_pf_above_1_pct"": 46.67, ""total_trades"": 231, ""total_return_pct"": -4.51, ""max_drawdown_pct"": -10.49}, ""1825"": {""score"": 63.74, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 40.74, ""total_trades"": 718, ""total_return_pct"": -10.4, ""max_drawdown_pct"": -16.33}}",55.87
