symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
LINK/USDT,0.04,True,False,True,2.95,0.55,-0.0442,-4.42,65.33,1.36,75,0.4321,3,3,100.0,100.0,100.0,0.62,0.717,1.587,-1.66,45,67.61
LINK/USDT,0.04,False,False,False,-6.72,-0.47,-0.2255,-22.55,57.14,0.99,399,-0.0142,3,3,100.0,100.0,100.0,2.263,1.227,1.487,-4.653,152,61.88
LINK/USDT,0.04,False,False,True,4.13,0.68,-0.0521,-5.21,62.11,1.39,95,0.4341,3,3,66.67,100.0,100.0,0.673,0.707,1.543,-1.853,57,54.87
LINK/USDT,0.07,True,False,False,-4.98,-0.52,-0.1468,-14.68,58.58,0.92,169,-0.1398,3,3,66.67,66.67,66.67,0.967,0.41,1.647,-3.547,60,49.49
LINK/USDT,0.07,False,False,False,-6.23,-0.65,-0.1513,-15.13,57.71,0.89,175,-0.1932,3,3,66.67,66.67,66.67,0.84,0.26,1.57,-3.723,63,47.96
LINK/USDT,0.04,True,False,False,-8.11,-0.63,-0.2247,-22.47,56.7,0.95,351,-0.0738,3,3,66.67,66.67,66.67,1.6,0.837,1.45,-4.303,131,47.02
LINK/USDT,0.08,True,True,False,-6.0,-0.83,-0.1073,-10.73,56.07,0.79,107,-0.4006,3,3,66.67,66.67,66.67,0.007,-0.31,1.517,-2.88,34,46.65
LINK/USDT,0.08,True,False,False,-5.03,-0.62,-0.1251,-12.51,58.06,0.85,124,-0.2816,3,3,66.67,66.67,66.67,0.24,-0.09,1.39,-3.287,38,44.03
LINK/USDT,0.08,False,False,False,-6.4,-0.78,-0.1325,-13.25,57.25,0.82,131,-0.3433,3,3,66.67,66.67,66.67,0.2,-0.197,1.333,-3.477,41,42.86
LINK/USDT,0.05,False,False,True,0.2,0.06,-0.0423,-4.23,60.0,1.14,55,0.1651,3,3,66.67,66.67,66.67,0.223,0.21,1.247,-1.66,34,42.28
LINK/USDT,0.07,True,True,False,-9.26,-1.16,-0.142,-14.2,53.62,0.75,138,-0.4784,3,3,66.67,66.67,66.67,-0.037,-0.467,1.267,-3.51,46,41.47
LINK/USDT,0.08,False,True,False,-7.97,-1.08,-0.1271,-12.71,54.39,0.73,114,-0.5339,3,3,66.67,66.67,66.67,-0.293,-0.61,1.14,-3.163,35,38.83
LINK/USDT,0.04,True,True,False,-12.8,-1.17,-0.2133,-21.33,54.48,0.84,290,-0.2706,3,3,33.33,33.33,33.33,0.37,0.007,1.34,-4.227,103,30.7
LINK/USDT,0.05,True,False,False,-13.64,-1.27,-0.2151,-21.51,54.55,0.81,264,-0.3101,3,3,33.33,33.33,33.33,-0.26,-0.487,1.307,-4.37,87,29.57
LINK/USDT,0.05,False,False,False,-12.84,-1.12,-0.2129,-21.29,55.7,0.86,298,-0.2304,3,3,33.33,33.33,33.33,-0.183,-0.493,1.253,-4.557,99,29.1
LINK/USDT,0.04,False,True,False,-11.49,-0.95,-0.2241,-22.41,55.59,0.89,340,-0.1739,3,3,33.33,33.33,33.33,0.13,-0.057,1.143,-5.07,118,27.38
LINK/USDT,0.07,False,True,False,-9.88,-1.18,-0.1521,-15.21,53.38,0.75,148,-0.4736,3,3,33.33,33.33,66.67,-0.153,-0.597,1.227,-3.66,49,27.3
LINK/USDT,0.06,False,False,False,-8.29,-0.77,-0.1506,-15.06,57.33,0.9,232,-0.16,3,3,33.33,33.33,33.33,-0.277,-0.463,1.143,-4.277,76,27.05
