symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
SOL/USDT,0.04,False,False,False,-3.27,-0.21,-0.1784,-17.84,55.14,1.03,350,0.0443,3,3,66.67,66.67,66.67,2.177,1.48,2.687,-4.797,146,58.93
SOL/USDT,0.04,False,True,False,-7.82,-0.66,-0.1699,-16.99,54.17,0.93,312,-0.0912,3,3,66.67,66.67,66.67,0.86,0.89,2.037,-4.653,125,58.47
SOL/USDT,0.05,False,False,False,-1.85,-0.12,-0.1674,-16.74,55.97,1.04,268,0.0583,3,3,66.67,66.67,100.0,1.783,1.533,2.147,-3.93,107,57.79
SOL/USDT,0.05,True,False,False,-3.49,-0.3,-0.166,-16.6,55.33,1.0,244,0.0008,3,3,66.67,100.0,100.0,1.573,1.387,2.0,-3.54,97,57.41
SOL/USDT,0.04,False,False,True,0.67,0.14,-0.0553,-5.53,58.24,1.16,91,0.1932,3,3,66.67,66.67,66.67,-0.253,-0.163,1.663,-3.12,60,51.74
SOL/USDT,0.04,True,False,True,-0.29,-0.02,-0.0443,-4.43,55.56,1.07,72,0.0908,3,3,66.67,66.67,66.67,-0.617,-0.567,1.493,-2.643,46,46.84
SOL/USDT,0.05,False,True,False,-5.89,-0.57,-0.1491,-14.91,54.11,0.93,231,-0.0963,3,3,66.67,66.67,66.67,0.317,0.46,1.433,-3.96,83,46.2
SOL/USDT,0.05,True,True,False,-6.85,-0.71,-0.1414,-14.14,53.33,0.89,210,-0.16,3,3,66.67,66.67,66.67,0.237,0.41,1.39,-3.743,77,45.14
SOL/USDT,0.04,True,True,False,-6.59,-0.57,-0.153,-15.3,54.61,0.96,282,-0.0597,3,3,33.33,33.33,33.33,0.637,0.803,2.02,-4.473,110,44.97
SOL/USDT,0.04,True,False,False,-7.39,-0.59,-0.1944,-19.44,53.65,0.96,315,-0.061,3,3,33.33,33.33,33.33,1.363,1.077,2.58,-4.6,130,44.69
SOL/USDT,0.05,False,False,True,0.01,0.03,-0.0487,-4.87,60.66,1.08,61,0.1076,3,3,66.67,66.67,66.67,-0.79,-0.523,1.357,-2.75,39,44.15
SOL/USDT,0.06,True,False,False,-5.6,-0.61,-0.1359,-13.59,51.98,0.9,177,-0.1403,3,3,33.33,33.33,33.33,0.247,0.733,2.483,-3.427,68,43.56
SOL/USDT,0.06,False,False,False,-7.02,-0.75,-0.1594,-15.94,50.78,0.88,193,-0.1812,3,3,33.33,33.33,33.33,0.037,0.577,2.36,-3.733,72,43.36
SOL/USDT,0.06,False,True,False,-11.11,-1.38,-0.1755,-17.55,46.58,0.72,161,-0.4705,3,3,33.33,33.33,33.33,-0.95,-0.377,1.267,-3.603,55,27.85
SOL/USDT,0.06,True,True,False,-11.33,-1.46,-0.1597,-15.97,45.95,0.69,148,-0.5276,3,3,33.33,33.33,33.33,-0.94,-0.383,1.26,-3.473,53,27.8
SOL/USDT,0.07,True,False,False,-9.55,-1.23,-0.1642,-16.42,48.39,0.72,124,-0.4876,3,3,33.33,33.33,33.33,-0.7,-0.38,1.23,-3.063,44,26.71
SOL/USDT,0.07,False,False,False,-11.56,-1.42,-0.1926,-19.26,46.72,0.68,137,-0.5615,3,3,33.33,33.33,33.33,-0.957,-0.533,1.2,-3.547,49,25.76
SOL/USDT,0.04,False,True,True,-3.5,-0.64,-0.0632,-6.32,51.52,0.8,66,-0.3012,3,3,33.33,33.33,66.67,-0.897,-1.007,0.987,-3.043,45,23.17
SOL/USDT,0.04,True,True,True,-3.35,-0.65,-0.0592,-5.92,50.0,0.74,52,-0.4161,3,3,33.33,33.33,66.67,-0.933,-1.173,0.923,-2.737,34,23.01
SOL/USDT,0.08,True,False,False,-8.26,-1.23,-0.1459,-14.59,47.19,0.66,89,-0.6383,3,3,33.33,33.33,33.33,-0.64,-0.607,1.003,-2.76,33,21.96
SOL/USDT,0.08,False,False,False,-9.59,-1.4,-0.1633,-16.33,46.32,0.63,95,-0.7115,3,3,33.33,33.33,66.67,-0.727,-0.657,1.007,-2.957,35,21.79
SOL/USDT,0.08,True,True,False,-11.09,-1.91,-0.1548,-15.48,41.1,0.48,73,-1.1133,3,3,0.0,0.0,0.0,-1.27,-1.617,0.393,-2.833,28,8.12
SOL/USDT,0.07,True,True,False,-13.88,-2.01,-0.188,-18.8,38.61,0.49,101,-1.0151,3,3,0.0,0.0,0.0,-1.517,-1.41,0.543,-3.16,37,7.92
SOL/USDT,0.08,False,True,False,-12.21,-2.06,-0.1711,-17.11,41.03,0.47,78,-1.1638,3,3,0.0,0.0,0.0,-1.353,-1.64,0.397,-3.02,30,7.88
SOL/USDT,0.07,False,True,False,-15.75,-2.24,-0.2111,-21.11,37.96,0.46,108,-1.1085,3,3,0.0,0.0,0.0,-1.717,-1.517,0.537,-3.473,40,7.58
