symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,rsi_min,rsi_max,min_volume_mult,take_profit_pct,stop_loss_pct,hold_timeout_hours,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score_base,robust_score,robust_horizon_details,score
SUI/USDT,0.06,False,False,True,55.0,95.0,0.8,0.04,0.07,12,0.16,0.06,-0.0648,-6.48,62.12,1.13,66,0.1869,3,3,100.0,100.0,100.0,0.85,0.86,1.707,-2.367,45,65.69,48.19,"{""365"": {""score"": 65.69, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 66, ""total_return_pct"": 0.16, ""max_drawdown_pct"": -6.48}, ""1095"": {""score"": 43.82, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 28.57, ""total_trades"": 247, ""total_return_pct"": -20.13, ""max_drawdown_pct"": -24.41}, ""1825"": {""score"": 43.82, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 28.57, ""total_trades"": 247, ""total_return_pct"": -20.13, ""max_drawdown_pct"": -24.41}}",48.19
SUI/USDT,0.07,True,False,True,55.0,85.0,0.8,0.03,0.05,36,1.79,0.39,-0.0409,-4.09,67.5,1.36,40,0.4684,3,3,100.0,100.0,66.67,1.123,1.503,1.103,-1.617,26,56.92,46.82,"{""365"": {""score"": 56.92, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 40, ""total_return_pct"": 1.79, ""max_drawdown_pct"": -4.09}, ""1095"": {""score"": 44.3, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 21.43, ""total_trades"": 178, ""total_return_pct"": -13.73, ""max_drawdown_pct"": -19.62}, ""1825"": {""score"": 44.3, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 21.43, ""total_trades"": 178, ""total_return_pct"": -13.73, ""max_drawdown_pct"": -19.62}}",46.82
SUI/USDT,0.04,True,False,True,55.0,85.0,0.8,0.03,0.05,36,-0.64,-0.04,-0.0648,-6.48,62.5,1.07,104,0.1072,3,3,66.67,66.67,66.67,0.523,0.67,1.45,-3.623,64,47.82,46.75,"{""365"": {""score"": 47.82, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 104, ""total_return_pct"": -0.64, ""max_drawdown_pct"": -6.48}, ""1095"": {""score"": 46.48, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 337, ""total_return_pct"": -23.8, ""max_drawdown_pct"": -28.64}, ""1825"": {""score"": 46.48, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 337, ""total_return_pct"": -23.8, ""max_drawdown_pct"": -28.64}}",46.75
SUI/USDT,0.06,False,False,True,55.0,95.0,0.8,0.03,0.04,36,-0.75,-0.11,-0.0548,-5.48,58.21,1.07,67,0.1048,3,3,66.67,66.67,100.0,0.577,0.627,1.413,-2.16,47,46.9,44.76,"{""365"": {""score"": 46.9, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 67, ""total_return_pct"": -0.75, ""max_drawdown_pct"": -5.48}, ""1095"": {""score"": 44.22, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 279, ""total_return_pct"": -21.2, ""max_drawdown_pct"": -24.41}, ""1825"": {""score"": 44.22, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 279, ""total_return_pct"": -21.2, ""max_drawdown_pct"": -24.41}}",44.76
SUI/USDT,0.05,True,True,True,55.0,85.0,0.8,0.03,0.05,36,-3.24,-0.66,-0.0495,-4.95,59.09,0.78,44,-0.4063,3,3,66.67,66.67,66.67,-0.2,-0.237,1.447,-2.097,28,47.44,43.94,"{""365"": {""score"": 47.44, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 44, ""total_return_pct"": -3.24, ""max_drawdown_pct"": -4.95}, ""1095"": {""score"": 43.06, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 28.57, ""total_trades"": 185, ""total_return_pct"": -20.56, ""max_drawdown_pct"": -24.36}, ""1825"": {""score"": 43.06, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 28.57, ""total_trades"": 185, ""total_return_pct"": -20.56, ""max_drawdown_pct"": -24.36}}",43.94
SUI/USDT,0.07,True,False,False,55.0,85.0,0.8,0.04,0.06,36,-2.16,-0.11,-0.1734,-17.34,55.98,1.01,184,0.0133,3,3,100.0,100.0,100.0,2.6,1.563,1.743,-4.513,72,64.3,42.28,"{""365"": {""score"": 64.3, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 184, ""total_return_pct"": -2.16, ""max_drawdown_pct"": -17.34}, ""1095"": {""score"": 36.78, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 836, ""total_return_pct"": -5.27, ""max_drawdown_pct"": -28.6}, ""1825"": {""score"": 36.78, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 836, ""total_return_pct"": -5.27, ""max_drawdown_pct"": -28.6}}",42.28
SUI/USDT,0.06,True,False,False,55.0,85.0,0.8,0.03,0.04,24,-1.21,-0.05,-0.1541,-15.41,60.62,1.07,320,0.1024,3,3,100.0,100.0,100.0,2.507,1.677,1.52,-3.963,119,62.09,39.01,"{""365"": {""score"": 62.09, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 320, ""total_return_pct"": -1.21, ""max_drawdown_pct"": -15.41}, ""1095"": {""score"": 33.24, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1349, ""total_return_pct"": -25.99, ""max_drawdown_pct"": -35.33}, ""1825"": {""score"": 33.24, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1349, ""total_return_pct"": -25.99, ""max_drawdown_pct"": -35.33}}",39.01
SUI/USDT,0.03,True,False,False,55.0,85.0,0.8,0.03,0.04,24,-3.69,-0.16,-0.2075,-20.75,59.49,1.06,585,0.0892,3,3,100.0,100.0,100.0,3.33,1.513,1.393,-4.937,227,61.36,38.5,"{""365"": {""score"": 61.36, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 585, ""total_return_pct"": -3.69, ""max_drawdown_pct"": -20.75}, ""1095"": {""score"": 32.79, ""wf_positive_pct"": 50.0, ""wf_sharpe_positive_pct"": 50.0, ""wf_pf_above_1_pct"": 57.14, ""total_trades"": 2135, ""total_return_pct"": -34.21, ""max_drawdown_pct"": -46.88}, ""1825"": {""score"": 32.79, ""wf_positive_pct"": 50.0, ""wf_sharpe_positive_pct"": 50.0, ""wf_pf_above_1_pct"": 57.14, ""total_trades"": 2135, ""total_return_pct"": -34.21, ""max_drawdown_pct"": -46.88}}",38.5
SUI/USDT,0.03,True,True,False,55.0,85.0,1.0,0.03,0.04,24,-5.52,-0.38,-0.1574,-15.74,58.89,1.01,416,0.0156,3,3,100.0,100.0,100.0,0.54,0.353,1.143,-4.867,160,55.65,38.36,"{""365"": {""score"": 55.65, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 416, ""total_return_pct"": -5.52, ""max_drawdown_pct"": -15.74}, ""1095"": {""score"": 34.04, ""wf_positive_pct"": 50.0, ""wf_sharpe_positive_pct"": 50.0, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 1494, ""total_return_pct"": -31.75, ""max_drawdown_pct"": -38.71}, ""1825"": {""score"": 34.04, ""wf_positive_pct"": 50.0, ""wf_sharpe_positive_pct"": 50.0, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 1494, ""total_return_pct"": -31.75, ""max_drawdown_pct"": -38.71}}",38.36
SUI/USDT,0.04,False,False,True,55.0,95.0,0.8,0.03,0.04,36,-1.87,-0.19,-0.0757,-7.57,56.74,1.05,141,0.0643,3,3,66.67,66.67,66.67,0.647,0.633,1.41,-3.263,91,47.18,38.1,"{""365"": {""score"": 47.18, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 141, ""total_return_pct"": -1.87, ""max_drawdown_pct"": -7.57}, ""1095"": {""score"": 35.83, ""wf_positive_pct"": 28.57, ""wf_sharpe_positive_pct"": 28.57, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 461, ""total_return_pct"": -21.23, ""max_drawdown_pct"": -26.31}, ""1825"": {""score"": 35.83, ""wf_positive_pct"": 28.57, ""wf_sharpe_positive_pct"": 28.57, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 461, ""total_return_pct"": -21.23, ""max_drawdown_pct"": -26.31}}",38.1
