symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,rsi_min,rsi_max,min_volume_mult,take_profit_pct,stop_loss_pct,hold_timeout_hours,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score_base,robust_score,robust_horizon_details,score
XRP/USDT,0.08,True,True,False,65.0,95.0,0.8,0.03,0.07,36,9.46,1.37,-0.0469,-4.69,80.28,2.28,71,1.1873,3,3,100.0,100.0,100.0,1.513,1.483,3.077,-2.2,32,83.9,65.29,"{""365"": {""score"": 83.9, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 71, ""total_return_pct"": 9.46, ""max_drawdown_pct"": -4.69}, ""1095"": {""score"": 58.18, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 280, ""total_return_pct"": -2.16, ""max_drawdown_pct"": -20.11}, ""1825"": {""score"": 62.12, ""wf_positive_pct"": 73.08, ""wf_sharpe_positive_pct"": 73.08, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 627, ""total_return_pct"": -14.06, ""max_drawdown_pct"": -26.73}}",65.29
XRP/USDT,0.08,False,False,False,55.0,95.0,0.8,0.03,0.07,36,11.23,1.42,-0.0469,-4.69,76.6,2.17,94,1.0917,3,3,66.67,66.67,100.0,0.63,0.57,1.56,-2.893,39,63.18,64.89,"{""365"": {""score"": 63.18, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 94, ""total_return_pct"": 11.23, ""max_drawdown_pct"": -4.69}, ""1095"": {""score"": 63.94, ""wf_positive_pct"": 92.86, ""wf_sharpe_positive_pct"": 92.86, ""wf_pf_above_1_pct"": 71.43, ""total_trades"": 465, ""total_return_pct"": -8.89, ""max_drawdown_pct"": -30.84}, ""1825"": {""score"": 66.15, ""wf_positive_pct"": 80.77, ""wf_sharpe_positive_pct"": 80.77, ""wf_pf_above_1_pct"": 65.38, ""total_trades"": 1024, ""total_return_pct"": -3.41, ""max_drawdown_pct"": -30.84}}",64.89
XRP/USDT,0.08,True,False,False,55.0,85.0,0.8,0.04,0.06,36,9.68,1.31,-0.0447,-4.47,71.21,2.07,66,1.2542,3,3,100.0,100.0,100.0,1.41,1.447,2.2,-2.017,29,83.36,64.14,"{""365"": {""score"": 83.36, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 66, ""total_return_pct"": 9.68, ""max_drawdown_pct"": -4.47}, ""1095"": {""score"": 53.94, ""wf_positive_pct"": 64.29, ""wf_sharpe_positive_pct"": 64.29, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 334, ""total_return_pct"": -13.95, ""max_drawdown_pct"": -30.96}, ""1825"": {""score"": 62.58, ""wf_positive_pct"": 73.08, ""wf_sharpe_positive_pct"": 73.08, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 780, ""total_return_pct"": -21.98, ""max_drawdown_pct"": -31.92}}",64.14
XRP/USDT,0.08,False,True,False,55.0,95.0,0.8,0.04,0.06,36,10.12,1.32,-0.0466,-4.66,68.42,2.06,76,1.2004,3,3,100.0,100.0,100.0,1.597,1.373,2.277,-2.647,35,83.53,64.1,"{""365"": {""score"": 83.53, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 76, ""total_return_pct"": 10.12, ""max_drawdown_pct"": -4.66}, ""1095"": {""score"": 55.77, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 76.92, ""wf_pf_above_1_pct"": 61.54, ""total_trades"": 347, ""total_return_pct"": -13.9, ""max_drawdown_pct"": -31.69}, ""1825"": {""score"": 61.32, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 791, ""total_return_pct"": -14.45, ""max_drawdown_pct"": -31.69}}",64.1
XRP/USDT,0.08,False,True,False,55.0,95.0,0.8,0.03,0.05,36,7.59,1.13,-0.0632,-6.32,71.43,1.68,91,0.7875,3,3,100.0,100.0,100.0,1.133,1.213,1.833,-2.253,37,78.2,63.39,"{""365"": {""score"": 78.2, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 91, ""total_return_pct"": 7.59, ""max_drawdown_pct"": -6.32}, ""1095"": {""score"": 54.69, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 394, ""total_return_pct"": -12.17, ""max_drawdown_pct"": -27.22}, ""1825"": {""score"": 62.69, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 895, ""total_return_pct"": -15.42, ""max_drawdown_pct"": -27.22}}",63.39
XRP/USDT,0.03,True,True,True,55.0,85.0,1.0,0.04,0.07,24,2.84,0.6,-0.0383,-3.83,59.32,1.44,59,0.5301,3,3,66.67,66.67,66.67,0.99,0.78,2.47,-1.813,37,64.4,63.2,"{""365"": {""score"": 64.4, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 59, ""total_return_pct"": 2.84, ""max_drawdown_pct"": -3.83}, ""1095"": {""score"": 67.38, ""wf_positive_pct"": 78.57, ""wf_sharpe_positive_pct"": 78.57, ""wf_pf_above_1_pct"": 64.29, ""total_trades"": 126, ""total_return_pct"": 10.05, ""max_drawdown_pct"": -4.24}, ""1825"": {""score"": 60.21, ""wf_positive_pct"": 56.0, ""wf_sharpe_positive_pct"": 56.0, ""wf_pf_above_1_pct"": 52.0, ""total_trades"": 289, ""total_return_pct"": 10.42, ""max_drawdown_pct"": -7.5}}",63.2
XRP/USDT,0.08,True,True,False,55.0,85.0,0.8,0.04,0.06,36,8.95,1.31,-0.0506,-5.06,71.93,2.18,57,1.3032,3,3,100.0,100.0,100.0,1.663,2.05,3.183,-1.457,23,83.09,63.02,"{""365"": {""score"": 83.09, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 57, ""total_return_pct"": 8.95, ""max_drawdown_pct"": -5.06}, ""1095"": {""score"": 52.35, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 38.46, ""total_trades"": 269, ""total_return_pct"": -15.72, ""max_drawdown_pct"": -29.99}, ""1825"": {""score"": 61.39, ""wf_positive_pct"": 73.08, ""wf_sharpe_positive_pct"": 73.08, ""wf_pf_above_1_pct"": 50.0, ""total_trades"": 643, ""total_return_pct"": -20.68, ""max_drawdown_pct"": -30.07}}",63.02
XRP/USDT,0.08,True,False,False,60.0,90.0,0.8,0.04,0.07,36,7.91,1.06,-0.0484,-4.84,68.66,1.92,67,1.0817,3,3,66.67,66.67,66.67,0.897,0.923,1.89,-2.383,31,66.16,62.84,"{""365"": {""score"": 66.16, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 67, ""total_return_pct"": 7.91, ""max_drawdown_pct"": -4.84}, ""1095"": {""score"": 59.2, ""wf_positive_pct"": 78.57, ""wf_sharpe_positive_pct"": 78.57, ""wf_pf_above_1_pct"": 57.14, ""total_trades"": 320, ""total_return_pct"": -8.52, ""max_drawdown_pct"": -30.9}, ""1825"": {""score"": 63.7, ""wf_positive_pct"": 76.92, ""wf_sharpe_positive_pct"": 76.92, ""wf_pf_above_1_pct"": 61.54, ""total_trades"": 730, ""total_return_pct"": -17.66, ""max_drawdown_pct"": -30.9}}",62.84
XRP/USDT,0.08,True,True,False,65.0,95.0,0.8,0.03,0.06,36,7.76,1.18,-0.0493,-4.93,76.71,1.95,73,0.9995,3,3,100.0,100.0,100.0,1.123,1.18,1.993,-2.27,34,82.01,62.67,"{""365"": {""score"": 82.01, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 73, ""total_return_pct"": 7.76, ""max_drawdown_pct"": -4.93}, ""1095"": {""score"": 54.92, ""wf_positive_pct"": 61.54, ""wf_sharpe_positive_pct"": 61.54, ""wf_pf_above_1_pct"": 46.15, ""total_trades"": 284, ""total_return_pct"": -5.71, ""max_drawdown_pct"": -21.47}, ""1825"": {""score"": 59.59, ""wf_positive_pct"": 69.23, ""wf_sharpe_positive_pct"": 69.23, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 646, ""total_return_pct"": -22.64, ""max_drawdown_pct"": -31.4}}",62.67
XRP/USDT,0.08,True,False,False,55.0,85.0,0.8,0.03,0.06,36,7.24,1.08,-0.0501,-5.01,74.65,1.91,71,0.964,3,3,100.0,100.0,100.0,1.047,1.187,1.967,-1.843,31,80.54,62.64,"{""365"": {""score"": 80.54, ""wf_positive_pct"": 100.0, ""wf_sharpe_positive_pct"": 100.0, ""wf_pf_above_1_pct"": 100.0, ""total_trades"": 71, ""total_return_pct"": 7.24, ""max_drawdown_pct"": -5.01}, ""1095"": {""score"": 49.7, ""wf_positive_pct"": 50.0, ""wf_sharpe_positive_pct"": 50.0, ""wf_pf_above_1_pct"": 21.43, ""total_trades"": 373, ""total_return_pct"": -11.75, ""max_drawdown_pct"": -28.45}, ""1825"": {""score"": 63.25, ""wf_positive_pct"": 73.08, ""wf_sharpe_positive_pct"": 73.08, ""wf_pf_above_1_pct"": 53.85, ""total_trades"": 866, ""total_return_pct"": -20.31, ""max_drawdown_pct"": -30.43}}",62.64
